L(cm);Ângulo;T1;T2;T3;T4;T5;T_Media;DP;Erro_Media;T;T²
100;5º;20.26;19.76;19.99;20.17;20.16;20.068;0.19791412279066914;0.08850988645343531;2.0068;0.10201133896398859
100;10º;20.94;20.49;20.43;20.69;20.52;20.613999999999997;0.2062280291328034;0.09222797840135107;2.0614;0.10763779852034837
100;15º;21.13;21.0;21.47;20.71;20.92;21.046;0.28183328405282343;0.12603967629282412;2.1046;0.11219652227173137
100;20º;21.15;21.57;21.39;21.27;21.06;21.288;0.20079840636817892;0.08979977728257495;2.1288;0.11479156751966177
100;30º;21.18;20.98;20.54;20.25;20.43;20.676;0.38952535219161294;0.17420103329199862;2.0675999999999997;0.10828624902960014
100;40º;20.95;21.2;20.82;20.59;21.16;20.944;0.2514557615168122;0.11245443521711354;2.0944;0.11111163076394019
90;10º;19.09;18.97;20.2;17.77;19.12;19.03;0.8619454739135184;0.38547373451377975;1.903;0.0917313615832537
80;10º;17.41;17.87;17.68;17.9;17.64;17.7;0.19811612756158928;0.08860022573334665;1.77;0.07935728405827
70;10º;16.72;16.58;16.67;16.6;16.59;16.631999999999998;0.060580524923443894;0.027092434368288155;1.6631999999999998;0.07006953185719067
60;10º;15.57;14.62;15.48;15.56;15.56;15.358;0.4141497313774336;0.18521339044464383;1.5358;0.059746103900062617
